wavelength_um,rsr_watts,sensor,band
0.427,7.3E-05,l8_oli,ca
0.428,0.000609,l8_oli,ca
0.429,0.001628,l8_oli,ca
0.43,0.003421,l8_oli,ca
0.431,0.008019,l8_oli,ca
0.432,0.024767,l8_oli,ca
0.433,0.085688,l8_oli,ca
0.434,0.254149,l8_oli,ca
0.435,0.517821,l8_oli,ca
0.436,0.765117,l8_oli,ca
0.437,0.908749,l8_oli,ca
0.438,0.958204,l8_oli,ca
0.439,0.977393,l8_oli,ca
0.44,0.98379,l8_oli,ca
0.441,0.989052,l8_oli,ca
0.442,0.986713,l8_oli,ca
0.443,0.993683,l8_oli,ca
0.444,0.993137,l8_oli,ca
0.445,1,l8_oli,ca
0.446,0.996969,l8_oli,ca
0.447,0.98278,l8_oli,ca
0.448,0.972692,l8_oli,ca
0.449,0.905808,l8_oli,ca
0.45,0.745606,l8_oli,ca
0.451,0.471329,l8_oli,ca
0.452,0.226412,l8_oli,ca
0.453,0.09286,l8_oli,ca
0.454,0.036603,l8_oli,ca
0.455,0.014537,l8_oli,ca
0.456,0.005829,l8_oli,ca
0.457,0.002414,l8_oli,ca
0.458,0.000984,l8_oli,ca
0.459,0.000255,l8_oli,ca
0.436,1E-05,l8_oli,blue
0.437,6.1E-05,l8_oli,blue
0.438,0.000117,l8_oli,blue
0.439,0.000241,l8_oli,blue
0.44,0.000349,l8_oli,blue
0.441,0.000455,l8_oli,blue
0.442,0.000756,l8_oli,blue
0.443,0.001197,l8_oli,blue
0.444,0.00207,l8_oli,blue
0.445,0.003712,l8_oli,blue
0.446,0.006869,l8_oli,blue
0.447,0.013212,l8_oli,blue
0.448,0.02717,l8_oli,blue
0.449,0.058606,l8_oli,blue
0.45,0.130876,l8_oli,blue
0.451,0.27137,l8_oli,blue
0.452,0.493542,l8_oli,blue
0.453,0.723971,l8_oli,blue
0.454,0.85751,l8_oli,blue
0.455,0.894222,l8_oli,blue
0.456,0.903034,l8_oli,blue
0.457,0.910928,l8_oli,blue
0.458,0.90988,l8_oli,blue
0.459,0.899475,l8_oli,blue
0.46,0.897977,l8_oli,blue
0.461,0.889667,l8_oli,blue
0.462,0.883542,l8_oli,blue
0.463,0.877453,l8_oli,blue
0.464,0.881011,l8_oli,blue
0.465,0.874721,l8_oli,blue
0.466,0.879688,l8_oli,blue
0.467,0.886569,l8_oli,blue
0.468,0.891913,l8_oli,blue
0.469,0.88768,l8_oli,blue
0.47,0.861157,l8_oli,blue
0.471,0.848533,l8_oli,blue
0.472,0.840828,l8_oli,blue
0.473,0.828339,l8_oli,blue
0.474,0.844202,l8_oli,blue
0.475,0.865864,l8_oli,blue
0.476,0.868497,l8_oli,blue
